id,user_id,song_id,substring,inserted_at,updated_at
f5b6742b-0b6c-4d02-805c-3b23007d8539,f885b2c2-8f28-4ab1-996b-09f1e03c48e4,f17b55f6-6c20-45d9-bcd2-391d1e0a65d9,like,2016-12-03 16:25:56.504153,2016-12-03 16:25:56.510821
aa5ac099-abd7-4800-a6f8-641b50ed4dc9,f885b2c2-8f28-4ab1-996b-09f1e03c48e4,cc7a6e97-33a1-4958-aa92-440c0f155bc9,like,2016-12-03 16:26:02.817063,2016-12-03 16:26:02.821482
670459a3-d691-4fbc-bc74-f1328124f83e,12fa6eef-5bd6-4e8d-999e-1b70ac63dde2,978ac587-a1a3-4f95-98a8-0b9120fa3fff,like,2017-01-18 21:33:55.08619,2017-01-18 21:33:55.095721
61d42ad4-1bf3-40c3-adc5-bfca877feeb9,f885b2c2-8f28-4ab1-996b-09f1e03c48e4,c62edd12-a9f9-4fe7-b3ce-b65e9d8a63b2,like,2016-12-03 16:26:37.807019,2016-12-03 16:26:37.811203
8a14059b-d424-48f5-a9b0-3c8160828d60,76e744be-8016-45e5-9e6f-68f98f310ae2,8108bd37-f59b-4a0f-bfaf-b97c231da2c8,up,2016-11-03 19:38:28.471712,2016-12-17 17:10:28.964287
024e1a01-c727-48c5-bae8-0de786ff015a,3ae49a0a-e95d-45f9-9135-7033326facb7,3108291a-071a-4112-bd5b-5c21caf1b2fb,like,2017-01-20 19:24:10.973462,2017-01-20 19:24:10.990204
b3da695e-a4c0-40a2-8c89-dd9d8f2c0031,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,b114ea2e-903d-4ed0-aeba-f6e6a59a27a3,like,2016-11-05 15:52:08.25946,2016-11-05 15:52:08.268452
fdd102ea-b1b0-430d-acb3-c80ee203e22f,d9cb84d5-2ca9-4e2c-9b76-8f14d2f1bf40,8108bd37-f59b-4a0f-bfaf-b97c231da2c8,up,2016-11-05 15:54:28.50689,2016-11-05 15:54:28.514078
79139745-3c48-45c4-8097-03da4d8278fb,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,7e443e5b-1e54-4e91-ba69-5690477b6733,up,2016-11-05 15:50:53.968849,2016-11-26 17:58:51.606696
490fd680-6790-44c8-9b68-6821bca02313,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,8108bd37-f59b-4a0f-bfaf-b97c231da2c8,up,2016-11-05 15:51:37.459144,2016-11-26 17:58:53.354021
cab219b3-128a-4083-80c6-91effce1cf55,001ce697-b405-49aa-b259-75ded72afcb2,8b1b302b-8c68-4d20-860e-a1b500da450f,like,2016-12-05 17:44:42.920837,2016-12-05 17:44:42.943845
c002c5fa-735c-449a-bdc7-7b7f4cadaea3,f885b2c2-8f28-4ab1-996b-09f1e03c48e4,accf0c9f-beee-4270-84b2-d458b4da3cf3,like,2016-11-05 17:02:46.138292,2016-11-05 17:02:46.146322
20b35aed-71b7-4cbf-9f7e-e388f494ce6a,d0ec53d3-7f34-451f-9155-74f8ab59f937,148a9253-bd1e-4d7c-b032-653380f59ea3,like,2017-01-21 17:32:53.612298,2017-01-21 17:32:53.632234
