id,user_id,song_id,text,inserted_at,updated_at
b7461481-6aed-4eb4-a410-80f131bc9f1f,f7feec23-91f0-454d-bd09-16cbe3809a4d,a494f17d-a476-4fa3-bd89-d71c787dbdf6,"Loving that heavy bass and drum rhythm, Ruby!",2016-04-12 20:40:19.174102,2016-04-12 20:40:19.174102
deb671de-d93b-440d-a6c2-c5486933aadf,232c9847-ecdb-4cf0-8e55-3ee5ba44f1d9,037df3a1-fa1b-4c3c-ab19-9586fe50c363,"<div>I got an account terminated error for that video, but I was able to access this video.<br><br>https://www.youtube.com/watch?v=55uxjSS6RCA</div>",2016-08-30 21:12:11.263794,2016-08-30 21:12:11.263794
aff571ce-466f-4a12-ab0d-1a3aad9ee7f3,232c9847-ecdb-4cf0-8e55-3ee5ba44f1d9,fcd2756c-1a15-486e-9766-cda586ce52ba,"<div>I got a ""not available in my country"" error for that video, but was able to access this video.<br>https://www.youtube.com/watch?v=w9IE9eYXn0U</div>",2016-08-30 21:33:44.159766,2016-08-30 21:33:44.159766
ceb4ca62-8aa1-44a5-8984-6cd581949615,f1c4798e-cda7-496d-928e-558c651180ce,e320b05c-db93-4029-9d1e-917f51b43874,"I left this 11 days ago",2017-05-30 22:11:27.469368,2017-05-30 22:11:27.469368
8d7e6973-387b-4212-819b-5953a243582d,9197e0d8-75ca-4090-88a6-1bf2617eb741,ff438613-c5ab-48fe-8096-69224297edd5,"<div>2-3 other good songs on this album - No Promises, Patience, Three Empty Words.&nbsp;</div>",2016-09-24 23:36:42.061136,2016-09-24 23:36:42.061136
c6ff3005-f979-4635-8591-d26d9d2ca47e,9197e0d8-75ca-4090-88a6-1bf2617eb741,fe2252ac-87cc-40f4-a42f-9add678e2b56,<div>I think Katie played this at SwingFling in DC.&nbsp;</div>,2016-09-20 01:13:51.333505,2016-09-20 01:13:51.333505
14763353-2d29-4b0c-b789-ecfde8ff91e3,9197e0d8-75ca-4090-88a6-1bf2617eb741,8e8c6589-f6bf-4e08-91c9-25c97bceabdf,"<div>This isn't new, but I haven't heard it played - heard about a 5 second snippet in the movie ""The Mechanic"" - took a while to track it down.</div>",2016-08-30 23:52:54.533805,2016-08-30 23:52:54.533805
08b5d282-f3e3-4748-8d84-42532c6fadd6,9197e0d8-75ca-4090-88a6-1bf2617eb741,6bcc0677-3ab9-43e4-8fc4-0005b1a53b09,"<div>Josh's submission got me checking her out - liked this one, though the intro needs to be edited down .</div>",2016-08-22 02:29:28.250693,2016-08-22 02:29:28.250693
ad48dcdf-925d-40f0-a8fd-430ae027522d,9197e0d8-75ca-4090-88a6-1bf2617eb741,e270944c-1dbc-4922-8fb6-5f77250d849f,<div>I like the tempo of this one a little better. &nbsp;Leif was one of my son's best friends back in elementary school.</div>,2016-07-31 19:48:20.855408,2016-07-31 19:48:20.855408
2e0ceefc-f184-4659-bd29-72944084b0a6,9197e0d8-75ca-4090-88a6-1bf2617eb741,7b1c593e-d3bf-4b0d-87c5-a542a4cbfb18,"Was just about to add this, Laurent - you're too quick for me!",2016-04-07 19:09:48.685489,2016-04-07 19:09:48.685489
