id,user_id,inserted_at,updated_at,due_date,status
f52104cf-1350-40d2-841a-a05134614ef7,f8ff4af7-6be3-4c97-b754-30e80376ca5e,2017-05-06 09:59:07.018068,2017-05-06 10:00:04.398481,2017-04-30,voting
e60354f6-d113-45b1-831d-c1479019f82e,f8ff4af7-6be3-4c97-b754-30e80376ca5e,2017-04-20 20:03:37.430284,2017-05-24 14:39:35.375649,2016-03-30,counting
f78642d9-5c42-434d-a751-7d7ba08ce2fe,f8ff4af7-6be3-4c97-b754-30e80376ca5e,2017-04-23 07:43:33.612244,2017-04-23 08:28:27.635327,2016-02-29,published
76d23f24-ec80-4ba4-951c-1c3e2ee48268,f8ff4af7-6be3-4c97-b754-30e80376ca5e,2017-03-12 14:32:59.74005,2017-05-01 13:29:51.912953,2017-02-28,published
b1dcb0b9-17aa-42d7-8cc2-e6d16fb9f947,f8ff4af7-6be3-4c97-b754-30e80376ca5e,2016-03-29 11:59:21.11158,2016-04-08 10:53:34.620581,2015-06-30,published
685007b5-39fc-4cb7-8f85-7b372738f525,f8ff4af7-6be3-4c97-b754-30e80376ca5e,2016-03-29 15:05:23.191747,2016-04-08 10:53:45.142363,2015-10-31,published
9589376d-ae6b-47c8-b10d-3d058f88ff5c,f8ff4af7-6be3-4c97-b754-30e80376ca5e,2016-05-01 08:16:12.467539,2016-06-01 17:40:06.151771,2016-04-30,published
b0e514d4-eefc-4762-9897-0ae3fa6cf97f,f8ff4af7-6be3-4c97-b754-30e80376ca5e,2016-06-01 17:41:38.619592,2016-07-14 11:28:36.932676,2016-05-31,published
443e2d36-961d-4417-af23-3f313bac875d,f8ff4af7-6be3-4c97-b754-30e80376ca5e,2016-07-03 12:57:44.720498,2016-08-18 05:59:08.159642,2016-06-30,published
e1f29e97-0d90-4bd5-8362-fcf85108ed49,f8ff4af7-6be3-4c97-b754-30e80376ca5e,2016-08-19 08:35:23.197382,2016-09-10 00:41:42.537475,2016-07-31,published
76364401-9a5b-4c25-bae0-2788942b6ef4,f8ff4af7-6be3-4c97-b754-30e80376ca5e,2016-09-10 10:24:21.960573,2016-10-01 07:39:42.401885,2016-08-31,published
4ce8a436-0ea5-4c4b-87f2-cb7012bedd9e,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,2015-09-01 00:00:00,2016-03-28 20:57:08.844539,2015-09-30,published
67e72bbd-f426-40af-801d-505ecabee75a,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,2015-07-01 00:00:00,2016-03-28 20:58:13.260836,2015-07-28,published
b2d02e9b-429f-4f85-87b5-f350724fadb3,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,2015-08-01 00:00:00,2016-04-14 13:43:24.302726,2015-08-31,published
a498014a-225e-41c8-82ff-25814486f808,f8ff4af7-6be3-4c97-b754-30e80376ca5e,2016-10-04 19:19:21.916279,2016-12-21 10:44:51.783257,2016-09-30,published
bffd08e0-45d0-49d4-94c5-3ffc285e2fea,f8ff4af7-6be3-4c97-b754-30e80376ca5e,2016-11-26 14:23:21.311315,2017-02-03 15:34:06.218677,2016-10-30,published
736256b6-0c70-43f9-9ece-e9babf698b9a,f8ff4af7-6be3-4c97-b754-30e80376ca5e,2016-12-26 12:05:26.079626,2017-03-12 14:12:45.159871,2016-11-30,published
3b869dcb-d9f7-4735-8e8b-1489ec309378,f8ff4af7-6be3-4c97-b754-30e80376ca5e,2017-02-24 05:52:33.936744,2017-04-14 13:41:33.832621,2016-12-31,published
a41f2825-a1db-433c-9c20-92d600d8f656,f8ff4af7-6be3-4c97-b754-30e80376ca5e,2017-02-03 15:49:37.602506,2017-04-17 21:32:33.884343,2017-01-31,published
f0dfe537-5387-4322-90b3-13c76ac7b6e4,f8ff4af7-6be3-4c97-b754-30e80376ca5e,2017-04-20 10:21:41.377207,2017-04-20 10:22:53.503567,2017-03-31,voting
