id,top_id,song_id,likes,inserted_at,updated_at,votes,bonus,points,position
06806fa1-3462-4660-97e1-409e5a5396bc,443e2d36-961d-4417-af23-3f313bac875d,464534c6-36b6-489c-9ae3-a18468e9dfa3,24,2016-07-03 12:57:44.748918,2016-08-18 05:57:35.599404,189,14,227,1
c81c8eab-ad9a-440c-98d4-62a5b3d23b88,443e2d36-961d-4417-af23-3f313bac875d,9691cd93-4fa8-42f3-b5d1-fae0750da58f,14,2016-07-03 12:57:44.846168,2016-08-18 05:46:50.524089,183,8,205,2
36e459bc-85ea-4f83-a31c-f378797c491f,443e2d36-961d-4417-af23-3f313bac875d,f6909fca-1856-403e-8bf0-7bc76d1c8940,28,2016-07-03 12:57:44.743818,2016-08-18 03:54:21.993596,173,0,201,3
ee1463f3-9599-44df-a00c-94cd2e243e33,443e2d36-961d-4417-af23-3f313bac875d,6b12b065-13b6-4db5-9ce0-fa1908f34e2d,24,2016-07-03 12:57:44.735999,2016-08-18 03:54:21.953252,138,0,162,4
19d7c7f3-36f1-4db1-97cd-27d1864068f3,443e2d36-961d-4417-af23-3f313bac875d,40f8c1ae-7635-4b11-9ff9-21d55cfc29dc,4,2016-07-03 12:57:44.822295,2016-08-18 05:46:30.93531,99,18,121,5
b778fa8e-79f4-47be-816a-ffc622f3a3cb,443e2d36-961d-4417-af23-3f313bac875d,59dfa836-2d36-4b0f-8c8d-4737db958905,16,2016-07-03 12:57:44.739432,2016-08-18 05:51:30.412935,98,4,118,6
66ba92ed-ad16-42f0-b71c-bdb4d312787e,443e2d36-961d-4417-af23-3f313bac875d,230f3bc0-c191-41bb-b162-bcabd8c2426c,10,2016-07-03 12:57:44.795239,2016-08-18 05:48:34.716155,97,10,117,7
f0651cb3-3e53-4e40-a393-d304b2781f50,443e2d36-961d-4417-af23-3f313bac875d,ebcca9db-5ced-4c3c-ba7c-a88980644b9f,8,2016-07-03 12:57:44.727567,2016-08-18 05:49:17.880559,93,12,113,8
4ed6915b-5041-4db8-8f66-533f812d86e9,443e2d36-961d-4417-af23-3f313bac875d,38f5c3cf-c15d-4e97-b7a1-1419a8e8457e,6,2016-07-03 12:57:44.764787,2016-08-18 05:45:56.186272,72,20,98,9
5e7a61cd-b4d7-49ee-8462-ee751a0a6eef,443e2d36-961d-4417-af23-3f313bac875d,9ece1912-b964-4b80-acd1-03ebf01d8b2a,12,2016-07-03 12:57:44.887863,2016-08-18 05:48:06.476126,65,16,93,10
d6075845-c8a3-449e-993f-27ab3430947f,443e2d36-961d-4417-af23-3f313bac875d,51d84199-994a-4887-8461-5e20c0389525,4,2016-07-03 12:57:44.756649,2016-08-18 05:55:30.914291,84,2,90,11
0f76acb0-0824-4ae5-a5a6-a074e2fb837d,443e2d36-961d-4417-af23-3f313bac875d,c7cb9138-2b03-4711-98a4-08a5965292bb,0,2016-07-03 12:57:44.838007,2016-08-18 03:54:22.119444,90,0,90,12
55db6ed5-afca-4f70-8ea2-cb834737e60e,443e2d36-961d-4417-af23-3f313bac875d,e511997b-9daa-4a42-b759-620ecd07076d,4,2016-07-03 12:57:44.780488,2016-08-18 03:54:22.047042,82,0,86,13
24535ab4-a990-457f-a38d-6aedfe6562c1,443e2d36-961d-4417-af23-3f313bac875d,5aa7f330-465e-4505-af75-1485800b5a88,6,2016-07-03 12:57:44.76075,2016-08-18 05:55:02.399771,77,0,83,14
f1dc9c34-b572-4f54-8e4f-c24417741e13,443e2d36-961d-4417-af23-3f313bac875d,5c2af5d6-15c3-42c3-8ebb-a4499c120fc7,4,2016-07-03 12:57:44.882049,2016-08-18 05:57:08.777742,73,0,77,15
c6fcad66-507a-4a7d-a6ce-7898586a0fdf,443e2d36-961d-4417-af23-3f313bac875d,22c4ffca-a912-49df-8082-60c1d15f9024,0,2016-07-03 12:57:44.871042,2016-08-18 03:54:22.174569,54,0,54,16
