id,artist,title,inserted_at,updated_at,song_url,cover_public_id,cover_version,bpm,user_id,genre
891b8891-9386-4385-a372-662ddb8aca8d,JAMES BAY,Let It Go (Uptempo Radio Mix),2016-07-10 15:41:00,2016-07-12 06:05:24.14974,https://www.youtube.com/watch?v=SzbdsAMn_RE,covers/gaoh5jo6ul0pm2qibllq,1468303337,82,f1c4798e-cda7-496d-928e-558c651180ce,pop
312f44e5-8798-4c8d-afd6-67222231993b,YUNA,Too Close,2016-08-04 21:11:00,2016-08-05 17:39:07.532992,https://www.youtube.com/watch?v=w81xODCRrao,covers/qar1p4a5a6mq3mimn3eu,1470418689,99,f1c4798e-cda7-496d-928e-558c651180ce,pop
12b17641-6fb2-4837-ad4f-abb30d76344e,GRAHAM CANDY,Back Into It,2016-08-09 19:11:00,2016-08-11 08:00:02.249141,https://youtu.be/_jJSraF8oIk,covers/xxiwehc2eosvxtizoglw,1470902371,105,f1c4798e-cda7-496d-928e-558c651180ce,pop
e84bbb1a-5336-4540-b1ed-0ab8fe66541f,R KELLY,Sufferin,2015-12-17 00:00:00,2016-09-16 14:31:39.334311,https://youtu.be/_sL9IeleacE,wsdjs/missing_cover,1,0,f1c4798e-cda7-496d-928e-558c651180ce,rnb
5b6e32d8-e2ed-4544-a66c-a75020fd91aa,THE SHADOWBOXERS,Build the Beat,2016-09-02 14:54:00,2016-11-02 21:08:32.223915,https://www.youtube.com/watch?v=sTbrAR7wFTg,covers/itnjzntxlvaamyqgubws,1478120888,115,f1c4798e-cda7-496d-928e-558c651180ce,rnb
193477cd-1edf-43e6-96d9-ab2a53ede7fb,THE FRAY,Singing Low,2016-09-09 20:31:00,2016-11-02 21:10:38.075073,https://www.youtube.com/watch?v=3oq9LwYxR38,covers/cpdnj5ybxwvodllsdt9i,1478121032,90,f1c4798e-cda7-496d-928e-558c651180ce,pop
50fb5b54-1ac5-4e9e-9a06-cf2a184fbbbd,KINGDM,Can't get over you,2015-11-25 00:00:00,2016-09-16 14:57:48.489086,https://youtu.be/6Ky7oqTdcYE,wsdjs/missing_cover,1,0,f1c4798e-cda7-496d-928e-558c651180ce,rnb
edf5ff27-b172-4110-af98-1fdf15f94139,STRAIGHT NO CHASER,Can't Feel My Face,2015-11-04 00:00:00,2016-09-16 15:25:46.57321,https://youtu.be/QfyCBQx24KU,wsdjs/missing_cover,1,0,f1c4798e-cda7-496d-928e-558c651180ce,acoustic
6f0b9deb-1e20-4848-8873-b22fd8a608a7,POWERS,Legendary,2015-11-19 00:00:00,2016-09-16 15:26:20.847469,https://youtu.be/7WS5GhJOy6o,wsdjs/missing_cover,1,0,f1c4798e-cda7-496d-928e-558c651180ce,rock
da45c057-ea0e-4a48-aa03-a74e85a6ea22,NAUSE,Dynamite,2016-09-29 20:48:00,2016-09-30 18:53:05.127613,https://www.youtube.com/watch?v=uaCF8Qqqb0w,covers/t2xod2rgqe1lhwqedzua,1475261547,105,f1c4798e-cda7-496d-928e-558c651180ce,dance
f93efec8-fbd9-4f5a-88dd-03a8d0612361,EMPIRE CAST,I Am Who I Am (Feat. Jussie Smollett),2016-10-19 00:44:00,2016-10-20 09:54:37.064344,https://www.youtube.com/watch?v=B4B1E4OS5Vg,covers/thwb5dremm8uxtxb0beh,1476957270,94,f1c4798e-cda7-496d-928e-558c651180ce,rnb
bdd7b8e2-5a8c-458a-bc50-deaf06fb92bf,CAPTAIN CUTS,Love Like We Used To,2016-10-17 19:52:00,2016-10-20 09:41:25.003192,https://soundcloud.com/captaincuts/love-like-we-used-to,covers/ccfvdlvegzhi8tiyvlfc,1476956293,102,f1c4798e-cda7-496d-928e-558c651180ce,pop
4a37ff3e-b3ff-48db-a07b-cdf9a01b95b8,KEVIN HART,What Happened to (Feat. Kevin Ross),2016-10-18 23:55:00,2016-10-20 09:49:58.145347,https://www.youtube.com/watch?v=An2CvToWQJc,covers/dlbpdzx3oh1xnsc7wugb,1476956994,100,f1c4798e-cda7-496d-928e-558c651180ce,rnb
d48eb1c2-9b99-48d7-9d98-a1a16b8e1474,WILKINSON,We Will Be (Feat. Matt Wills - Acoustic version),2017-03-11 22:29:00,2017-03-12 09:04:29.461337,https://youtu.be/Yn3qn4KZaR8,covers/zessh8fhj1yy7g7fdagq,1489253263,103,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,acoustic
71559f21-e6b7-4751-a0f5-c25c6db976a6,ERIN BOWMAN,Good Time Good Life,2016-11-25 23:33:00,2016-11-25 23:50:18.144179,https://youtu.be/wskZv5fkwCk,covers/tfysqty4gvcsahwnzxz1,1480117799,112,36e7e58e-6049-4d2d-991e-fa803df9fb71,pop
06c9f816-e7d0-4795-94e9-37232df8134b,FABULOUS THUNDERBIRDS,Strong Like That,2016-10-01 16:00:00,2016-11-26 11:13:09.871073,https://www.youtube.com/watch?v=BaL_AzMe1Nw,covers/ppb1d44ojqtgksoi46e3,1480158759,90,f1c4798e-cda7-496d-928e-558c651180ce,blues
47e81619-7172-43dd-bdcc-414a5574ab97,AUTOGRAF,Episode,2016-12-21 14:44:00,2016-12-22 08:09:22.172483,https://www.youtube.com/watch?v=IsMGgOtBNJA,covers/h7k4qsbwhbn5tjxl7uky,1482394158,101,a29dde91-29c7-4fa8-94e8-65a58e38d842,pop
978ac587-a1a3-4f95-98a8-0b9120fa3fff,CHAINSMOKERS,Paris (Feat. Selena Gomez),2017-01-13 05:30:43.459232,2017-01-13 05:30:43.459232,https://youtu.be/RhU9MZ98jxo,covers/sr0vgqkjtdmut08lhbbj,1484285354,100,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,pop
37919580-9571-4ef1-8a19-03f6ab6d9230,THE BROS LANDRETH,How Deep is Your Love,2017-04-04 07:03:00,2017-04-14 14:56:55.019128,https://play.spotify.com/album/4p2PP3RIx6tghBjEJZurTh/5O7oXGr6wariuJbTNNX4oy,covers/ia5awr5sytmzvurx8m1m,1491289383,0,68d1ba64-c6a3-4113-9b3c-06da6eb27abb,acoustic
64d95470-6fc5-4e6f-84d8-dff667062920,KALEO,Broken Bones,2017-04-24 18:32:00,2017-04-24 23:25:26.703462,https://www.youtube.com/watch?v=CQRy_ygDF4o,covers/c3l5okywn3m0rnqzwsgb,1493058696,119,490c3d1b-a502-4224-b11e-4eb8f4ea0d18,blues
1a4a4ae7-86fe-4e9b-9528-69a32889a4bd,KHAI,Alive,2017-02-14 15:57:00,2017-02-15 11:24:41.762878,https://soundcloud.com/khaitunes/alive,covers/vafd3tshrdahbtglncxq,1487157878,89,12fa6eef-5bd6-4e8d-999e-1b70ac63dde2,pop
