id;artiste;title;inserted_at;updated_at;song_url;cover_public_id;cover_version;bpm;user_id;genre
3d779615-af2b-4605-a2ea-954e263d6f61;BEN L'ONCLE SOUL;Soulman;2000-01-01 00:00:00.000;2000-01-01 00:00:00.000;;;1;107;f8ff4af7-6be3-4c97-b754-30e80376ca5e;Soul
f56e819a-90ed-4e53-bf35-4f8ecbd4be70;BEN RECTOR;Moving Backwards;2000-01-01 00:00:00.000;2000-01-01 00:00:00.000;;;1;74;f8ff4af7-6be3-4c97-b754-30e80376ca5e;Pop
21904999-7bef-45fe-a71f-996caac81955;BEN RECTOR;Never Gonna Let You Go;2000-01-01 00:00:00.000;2000-01-01 00:00:00.000;;;1;109;f8ff4af7-6be3-4c97-b754-30e80376ca5e;Rock
8c5441b6-e52f-4e7f-b07f-43a6f1c62e2f;BEN RECTOR;Out of My Head;2000-01-01 00:00:00.000;2000-01-01 00:00:00.000;;;1;117;f8ff4af7-6be3-4c97-b754-30e80376ca5e;Pop
e64e72e5-aa24-43d4-b4fb-b8d6fb45b4db;BERK AND THE VIRTUAL BAND;Billie Jean;2000-01-01 00:00:00.000;2000-01-01 00:00:00.000;;;1;96;f8ff4af7-6be3-4c97-b754-30e80376ca5e;Jazz
b0180c29-c26a-4cad-acae-28ce3d3061b4;BETTY WHO;Missing You;2000-01-01 00:00:00.000;2000-01-01 00:00:00.000;;;1;96;f8ff4af7-6be3-4c97-b754-30e80376ca5e;Pop
07480eaf-4044-4766-9110-86792e378a4d;BETTY WRIGHT & THE ROOTS;Grapes On A Vine (Feat. Lil Wayne);2000-01-01 00:00:00.000;2000-01-01 00:00:00.000;;;1;83;f8ff4af7-6be3-4c97-b754-30e80376ca5e;R&B
81ded32a-d1f7-46ad-a455-b9c5866851f1;BEYONCE;Blow;2000-01-01 00:00:00.000;2000-01-01 00:00:00.000;;;1;120;f8ff4af7-6be3-4c97-b754-30e80376ca5e;Pop
c6206b52-c82a-4ed0-8a8a-a726d2110a95;BEYONCE;Halo;2000-01-01 00:00:00.000;2000-01-01 00:00:00.000;;;1;80;f8ff4af7-6be3-4c97-b754-30e80376ca5e;R&B
3f0033f7-fe38-4c7b-8b1d-749c16acf5f2;BEYONCE;If I Were A Boy;2000-01-01 00:00:00.000;2000-01-01 00:00:00.000;;;1;90;f8ff4af7-6be3-4c97-b754-30e80376ca5e;R&B
225e6395-dcdd-484c-aa4a-18734c658419;BEYONCE;Love On Top;2000-01-01 00:00:00.000;2000-01-01 00:00:00.000;;;1;94;f8ff4af7-6be3-4c97-b754-30e80376ca5e;R&B
400478c8-8741-4237-bcde-1cf707b2fe61;BEYONCE;Sweet Dreams;2000-01-01 00:00:00.000;2000-01-01 00:00:00.000;;;1;122;f8ff4af7-6be3-4c97-b754-30e80376ca5e;Pop
f0346ce6-d805-4091-b8ff-4ffbf52df21e;BIFFY CLYRO;Many Of Horror;2000-01-01 00:00:00.000;2000-01-01 00:00:00.000;;;1;82;f8ff4af7-6be3-4c97-b754-30e80376ca5e;Rock
6f390d83-1812-404e-a459-e9c18591d571;BIG TIME RUSH;Music Sounds Better With U;2000-01-01 00:00:00.000;2000-01-01 00:00:00.000;;;1;124;f8ff4af7-6be3-4c97-b754-30e80376ca5e;Dance
3b90028a-4429-4c98-adc5-03c50e7bc6d1;BIGG ROBB;Byob (Feat. Mel Waiters);2000-01-01 00:00:00.000;2000-01-01 00:00:00.000;;;1;95;f8ff4af7-6be3-4c97-b754-30e80376ca5e;R&B
16c11128-733d-4cee-b561-f055025af5d7;BILL WITHERS;Aint No Sunshine;2000-01-01 00:00:00.000;2000-01-01 00:00:00.000;;;1;80;f8ff4af7-6be3-4c97-b754-30e80376ca5e;Soul
f7b1357f-d5ca-4032-a7e4-779e11184357;BILL WITHERS;Grandma's Hands;2000-01-01 00:00:00.000;2000-01-01 00:00:00.000;;;1;83;f8ff4af7-6be3-4c97-b754-30e80376ca5e;Blues
ba30d2c5-21ee-43f2-bf93-fcccec9c073a;BILL WITHERS;Just the two of us;2000-01-01 00:00:00.000;2000-01-01 00:00:00.000;;;1;96;f8ff4af7-6be3-4c97-b754-30e80376ca5e;Jazz
14a2a98a-61ec-4d50-a97e-73ab73464846;BILL WITHERS;Lovely day;2000-01-01 00:00:00.000;2000-01-01 00:00:00.000;;;1;98;f8ff4af7-6be3-4c97-b754-30e80376ca5e;Soul
c0c7e550-608d-4ddd-a06b-2fa2a4ae1c36;BILLY CRAWFORD;Trackin' (12'' inch Almighty Mix);2000-01-01 00:00:00.000;2000-01-01 00:00:00.000;;;1;101;f8ff4af7-6be3-4c97-b754-30e80376ca5e;R&B
41c3222f-4c86-4cd8-8946-56001d45300d;BILLY CURRINGTON;Don't;2000-01-01 00:00:00.000;2000-01-01 00:00:00.000;;;1;98;f8ff4af7-6be3-4c97-b754-30e80376ca5e;Country
129e6320-7796-4464-9d00-c24d31c84ab4;BILLY OCEAN;Caribbean Queen;2000-01-01 00:00:00.000;2000-01-01 00:00:00.000;;;1;113;f8ff4af7-6be3-4c97-b754-30e80376ca5e;Disco-Funk
d61ac26f-dc50-40a4-93c6-41045a466681;BILLY OCEAN;Stay The Night;2000-01-01 00:00:00.000;2000-01-01 00:00:00.000;;;1;116;f8ff4af7-6be3-4c97-b754-30e80376ca5e;Disco-Funk
d94cefda-f83d-4bee-a167-1d26f90bbd8c;BLACK EYED PEAS;Boom Boom Pow;2000-01-01 00:00:00.000;2000-01-01 00:00:00.000;;;1;130;f8ff4af7-6be3-4c97-b754-30e80376ca5e;Rap
0cda4fd8-734e-4ead-8d76-7712d6ff8758;BLACK EYED PEAS;I Gotta Feeling (GBL West Coast version);2000-01-01 00:00:00.000;2000-01-01 00:00:00.000;;;1;128;f8ff4af7-6be3-4c97-b754-30e80376ca5e;Hip-Hop
4af18673-5fa7-48e8-9c61-357501585575;BLACK EYED PEAS;Just Can't Get Enough;2000-01-01 00:00:00.000;2000-01-01 00:00:00.000;;;1;94;f8ff4af7-6be3-4c97-b754-30e80376ca5e;Hip-Hop
043c0118-1386-49fe-bb27-5d56f843a00c;BLACK EYED PEAS;Let's Get It Started;2000-01-01 00:00:00.000;2000-01-01 00:00:00.000;;;1;105;f8ff4af7-6be3-4c97-b754-30e80376ca5e;Hip-Hop
184d2226-1f35-4f2f-8491-9eb21021603e;BLACK EYED PEAS;Pump It;2000-01-01 00:00:00.000;2000-01-01 00:00:00.000;;;1;154;f8ff4af7-6be3-4c97-b754-30e80376ca5e;Pop
9c2a1771-6150-432c-8fb1-0288fa3d2c15;BLACK EYED PEAS;Shut Up;2000-01-01 00:00:00.000;2000-01-01 00:00:00.000;;;1;113;f8ff4af7-6be3-4c97-b754-30e80376ca5e;R&B
5e5a51bd-06e4-454b-a922-dccf14699665;BLACK EYED PEAS;The Time (GBL Original West Life mix);2000-01-01 00:00:00.000;2000-01-01 00:00:00.000;;;1;128;f8ff4af7-6be3-4c97-b754-30e80376ca5e;Hip-Hop
89e47748-55c4-46ea-b6b3-2b3efd4dbe76;BLACK EYED PEAS;The Time (GBL West Life Mix);2000-01-01 00:00:00.000;2000-01-01 00:00:00.000;;;1;128;f8ff4af7-6be3-4c97-b754-30e80376ca5e;Hip-Hop
d30d446a-7dc2-49d2-a3b1-7c0ac1eb7d86;BLACK EYED PEAS;Whenever;2000-01-01 00:00:00.000;2000-01-01 00:00:00.000;;;1;130;f8ff4af7-6be3-4c97-b754-30e80376ca5e;Hip-Hop
05d3e34b-6874-45f8-8dd7-7e4360ba6816;BLACK EYED PEAS VS. LMFAO;Don't Stop The Party Rock Anthem;2000-01-01 00:00:00.000;2000-01-01 00:00:00.000;;;1;128;f8ff4af7-6be3-4c97-b754-30e80376ca5e;Dance
2e02c2ff-5724-4d15-9f90-494b9a39828e;BLACK MACHINE;How Gee;2000-01-01 00:00:00.000;2000-01-01 00:00:00.000;;;1;106;f8ff4af7-6be3-4c97-b754-30e80376ca5e;R&B
907aa633-55e5-40a3-9106-22272534226d;BLACKSTREET;No Diggity (Billie Jean Remix);2000-01-01 00:00:00.000;2000-01-01 00:00:00.000;;;1;90;f8ff4af7-6be3-4c97-b754-30e80376ca5e;R&B
fd9b32be-81c8-4d54-80ae-58977357d9ed;BLACKSTREET;No Diggity;2000-01-01 00:00:00.000;2000-01-01 00:00:00.000;;;1;89;f8ff4af7-6be3-4c97-b754-30e80376ca5e;R&B
515507f6-a610-45b7-804f-066460b65b89;BLUE;One Love;2000-01-01 00:00:00.000;2000-01-01 00:00:00.000;;;1;95;f8ff4af7-6be3-4c97-b754-30e80376ca5e;Pop
443e2041-559a-4735-9de6-e70e0c6d462d;BLUE;Risk It All;2000-01-01 00:00:00.000;2000-01-01 00:00:00.000;;;1;105;f8ff4af7-6be3-4c97-b754-30e80376ca5e;Pop
625d3c4f-22da-4b5e-ab4f-781d14be5fc6;BLUE;Without You;2000-01-01 00:00:00.000;2000-01-01 00:00:00.000;;;1;95;f8ff4af7-6be3-4c97-b754-30e80376ca5e;Pop
fe94c112-bbeb-404f-b75d-46d8400adc2f;BLUE FEATHER;Let's funk tonight (12'' inch mix);2000-01-01 00:00:00.000;2000-01-01 00:00:00.000;;;1;118;f8ff4af7-6be3-4c97-b754-30e80376ca5e;Disco-Funk
02779d9c-0f1a-4a5a-97a4-a619c606a118;BLUES COMPANY;Ol Whats Her Name (Short version);2000-01-01 00:00:00.000;2000-01-01 00:00:00.000;;;1;93;f8ff4af7-6be3-4c97-b754-30e80376ca5e;Blues
0af38735-4d48-442d-8f6f-2f104f8c86d9;BLUES COMPANY;Ol' What's Her Name (Short version);2000-01-01 00:00:00.000;2000-01-01 00:00:00.000;;;1;93;f8ff4af7-6be3-4c97-b754-30e80376ca5e;Blues
ba4c8378-b602-424e-b973-454dc3dc99d2;BOA;Energetic;2000-01-01 00:00:00.000;2000-01-01 00:00:00.000;;;1;116;f8ff4af7-6be3-4c97-b754-30e80376ca5e;Pop
df727632-5121-433c-9b8f-4b7e6f34d039;BOB LOG III;Drunk Stripper;2000-01-01 00:00:00.000;2000-01-01 00:00:00.000;;;1;92;f8ff4af7-6be3-4c97-b754-30e80376ca5e;Blues
97d279a9-4264-4de4-8ff9-623cd7a6bc6d;BOBBY WOMACK;Across 110th Street;2000-01-01 00:00:00.000;2000-01-01 00:00:00.000;;;1;111;f8ff4af7-6be3-4c97-b754-30e80376ca5e;Soul
936de14d-8d98-4126-a3d8-eb1b2765e985;BOBBY WOMACK;Lookin' For A Love;2000-01-01 00:00:00.000;2000-01-01 00:00:00.000;;;1;120;f8ff4af7-6be3-4c97-b754-30e80376ca5e;Soul
6209fafa-bf50-42ee-906a-fc251c4ccd46;BODY LANGUAGE;Well Absolutely;2000-01-01 00:00:00.000;2000-01-01 00:00:00.000;;;1;116;f8ff4af7-6be3-4c97-b754-30e80376ca5e;Pop
9d004214-e8b3-45bf-a845-0801a7909615;BONDAX;Gold;2000-01-01 00:00:00.000;2000-01-01 00:00:00.000;;;1;89;f8ff4af7-6be3-4c97-b754-30e80376ca5e;Pop
95c8b264-c312-4949-89c9-5c8f1e61e2bc;BONEY M;Daddy Cool;2000-01-01 00:00:00.000;2000-01-01 00:00:00.000;;;1;125;f8ff4af7-6be3-4c97-b754-30e80376ca5e;Disco-Funk
