id,top_id,song_id,likes,inserted_at,updated_at,votes,bonus,points,position
cb3882a7-78d2-41b9-b41b-c38fa33d21ea,c00b0b05-783d-4daf-acd9-d2fa55977136,6683ee64-b23a-42da-857f-a54609f07d9d,0,2015-11-01 00:00:00,2015-11-01 00:00:00,188,16,204,1
45f3163f-8815-487c-a4fc-ac84375d4ca4,c00b0b05-783d-4daf-acd9-d2fa55977136,ed81700a-38f9-45ba-9cfb-414e06ab8176,0,2015-11-01 00:00:00,2015-11-01 00:00:00,166,0,166,2
87160127-2ee8-4f30-9f9b-029406abbd08,c00b0b05-783d-4daf-acd9-d2fa55977136,dc937bb0-bc0c-4eae-ae20-10683032bb1d,0,2015-11-01 00:00:00,2015-11-01 00:00:00,137,0,137,3
860d93fc-21f8-49b2-8e49-c991939273a6,c00b0b05-783d-4daf-acd9-d2fa55977136,e6d259bf-df38-4e40-845f-549d21fb97e4,0,2015-11-01 00:00:00,2015-11-01 00:00:00,119,12,131,4
f60db2b6-c901-4148-8ee3-eabd1244e592,c00b0b05-783d-4daf-acd9-d2fa55977136,dbf07a0b-966c-463b-8b57-12ccd4b66279,0,2015-11-01 00:00:00,2015-11-01 00:00:00,106,0,106,5
49bd1472-153f-435a-a976-a4b6eebc1175,c00b0b05-783d-4daf-acd9-d2fa55977136,1d9908d1-c835-4d3d-8dcc-b6b8980d5f4b,0,2015-11-01 00:00:00,2015-11-01 00:00:00,87,14,101,6
a9e42c04-3c3f-409f-96a3-5a62e86831e7,c00b0b05-783d-4daf-acd9-d2fa55977136,fc9e6e70-8cbe-4d6d-8149-55976839a35d,0,2015-11-01 00:00:00,2015-11-01 00:00:00,79,20,99,7
713feba0-2d2a-4723-8943-8d6cb877b833,c00b0b05-783d-4daf-acd9-d2fa55977136,d47be7b8-12f2-4e03-91f3-9d33779a9a56,0,2015-11-01 00:00:00,2015-11-01 00:00:00,86,0,86,8
dc2827cf-f2a3-4a10-96ef-abe7f5f9ebba,c00b0b05-783d-4daf-acd9-d2fa55977136,a7df830f-6f2d-4d3b-91dd-c5330b18d274,0,2015-11-01 00:00:00,2015-11-01 00:00:00,74,10,84,9
a40b83f1-69fe-477c-a338-dfabb8d80239,c00b0b05-783d-4daf-acd9-d2fa55977136,99417f47-5b4f-44d0-815e-ea1013e90e03,0,2015-11-01 00:00:00,2015-11-01 00:00:00,80,0,80,10
138ed712-fa6c-4399-80ad-3d66ce5bf753,c00b0b05-783d-4daf-acd9-d2fa55977136,a858daff-581a-43e1-9770-f8b67e436655,0,2015-11-01 00:00:00,2015-11-01 00:00:00,65,0,65,11
c44ff905-c8a9-4c85-8ffc-945a1824df2b,c00b0b05-783d-4daf-acd9-d2fa55977136,fc44b828-2497-41ab-b55b-c97f2edcba2a,0,2015-11-01 00:00:00,2015-11-01 00:00:00,42,18,60,12
73fefb41-e4db-4e4d-8cd6-e33ccec5a356,c00b0b05-783d-4daf-acd9-d2fa55977136,50fb5b54-1ac5-4e9e-9a06-cf2a184fbbbd,0,2015-11-01 00:00:00,2015-11-01 00:00:00,51,6,57,13
3c575ead-c077-4993-8d7d-5b08e74eb57c,c00b0b05-783d-4daf-acd9-d2fa55977136,9fe17e25-2f7d-402e-a6ea-f78e82ea8d5e,0,2015-11-01 00:00:00,2015-11-01 00:00:00,41,8,49,14
cd5e0746-ff1c-41c8-8e2a-77b8fb3de484,c00b0b05-783d-4daf-acd9-d2fa55977136,43301c71-06c9-4a43-aca7-6549cb50b7d8,0,2015-11-01 00:00:00,2015-11-01 00:00:00,49,0,49,15
e7b9f477-f410-4ba6-adef-6c7e27547071,c00b0b05-783d-4daf-acd9-d2fa55977136,0a15f7af-55e6-468e-ae23-17032e729985,0,2015-11-01 00:00:00,2015-11-01 00:00:00,46,0,46,16
defa75b1-9dd9-4e19-a4bd-46d52eccc47d,c00b0b05-783d-4daf-acd9-d2fa55977136,edf5ff27-b172-4110-af98-1fdf15f94139,0,2015-11-01 00:00:00,2015-11-01 00:00:00,45,0,45,17
71b527aa-8b1e-4455-b5ad-9bc9b0f06c51,c00b0b05-783d-4daf-acd9-d2fa55977136,6f0b9deb-1e20-4848-8873-b22fd8a608a7,0,2015-11-01 00:00:00,2015-11-01 00:00:00,33,4,37,18
4a2bbb82-6769-47ce-a5e9-230c1910412b,c00b0b05-783d-4daf-acd9-d2fa55977136,018303c0-2f59-472f-9b06-0f205e6c7c40,0,2015-11-01 00:00:00,2015-11-01 00:00:00,33,0,33,19
66369559-f8c1-4af6-9c7b-72cfbad1b7e2,c00b0b05-783d-4daf-acd9-d2fa55977136,5c91435f-a8b1-4c96-a5d9-e061c267f91b,0,2015-11-01 00:00:00,2015-11-01 00:00:00,33,0,33,20
f8ee80e7-4198-4873-930e-f1f4ada2ef4d,b7923885-e6f5-4aa3-ad67-0b66c78e42e2,5858da91-8cde-437c-af56-9b2bfadc05f2,39,2015-12-01 00:00:00,2015-12-01 00:00:00,184,18,241,1
d9892dac-2c83-4528-bac8-45807208f8a9,b7923885-e6f5-4aa3-ad67-0b66c78e42e2,18215abb-8f63-4b50-a654-e74cde01fe7f,41,2015-12-01 00:00:00,2015-12-01 00:00:00,190,0,231,2
2b57fccd-9288-4021-afe8-ecf7e4ae1d8a,b7923885-e6f5-4aa3-ad67-0b66c78e42e2,990a5de3-f7a5-4359-8958-69349c40a8f5,28,2015-12-01 00:00:00,2015-12-01 00:00:00,170,0,198,3
